regime,competitor,metric,mean,sd,ci_low,ci_high,n_seeds,pct_of_oracle_incremental,share_treated
concept_drift,bandit_epsilon_greedy,pct_of_oracle_incremental,47.10319302457997,6.843589651464492,43.125293797728965,55.00542917117766,3,47.10319302457997,0.24819651509445398
concept_drift,bandit_greedy_online,pct_of_oracle_incremental,51.41131869512339,7.156863296091589,44.98652971706573,59.12507488696111,3,51.41131869512339,0.248976903724016
concept_drift,bandit_linucb,pct_of_oracle_incremental,50.582254081888244,6.824141872520984,44.90047776371483,58.1514586114156,3,50.582254081888244,0.24911657139995125
concept_drift,bandit_thompson,pct_of_oracle_incremental,53.742142211114185,7.049635176289645,46.02414074944122,59.84205708510541,3,53.742142211114185,0.24828061363289608
concept_drift,oracle,pct_of_oracle_incremental,100.0,0.0,100.0,100.0,3,100.0,0.26645210797487023
concept_drift,random,pct_of_oracle_incremental,22.47169465156018,6.264858060074216,16.607515563866983,29.07216247926372,3,22.47169465156018,0.25190294211675957
concept_drift,retrained_propensity_ev,pct_of_oracle_incremental,59.12795935133115,2.4730115326199633,57.66930783100437,61.98332317492557,3,59.12795935133115,0.24627505051376342
concept_drift,static_propensity_ev,pct_of_oracle_incremental,60.062953110080464,3.6451350701996312,57.26436107126688,64.18491723820271,3,60.062953110080464,0.24621943482425765
easy_randomized,bandit_epsilon_greedy,pct_of_oracle_incremental,49.318201561108175,5.786077993922799,45.822318027431415,55.99694420518582,3,49.318201561108175,0.24836387423511053
easy_randomized,bandit_greedy_online,pct_of_oracle_incremental,53.91551558836727,5.272566608019253,49.84110715891467,59.870545169097504,3,53.91551558836727,0.24920006476222892
easy_randomized,bandit_linucb,pct_of_oracle_incremental,52.79371355755452,6.03504401821931,47.78346770493351,59.49345609404008,3,52.79371355755452,0.24908869372717937
easy_randomized,bandit_thompson,pct_of_oracle_incremental,55.785947750038474,4.222201812549965,51.05068205528047,59.15853445005758,3,55.785947750038474,0.24875448751800533
easy_randomized,oracle,pct_of_oracle_incremental,100.0,0.0,100.0,100.0,3,100.0,0.3029743195798973
easy_randomized,random,pct_of_oracle_incremental,25.680591710223823,6.3613704324055265,21.160452754532887,32.95496987862846,3,25.680591710223823,0.25190294211675957
easy_randomized,retrained_propensity_ev,pct_of_oracle_incremental,58.118813373112154,2.1022291692479174,55.8595870325445,60.017380206889925,3,58.118813373112154,0.24621952792828294
easy_randomized,static_propensity_ev,pct_of_oracle_incremental,57.528843147261966,1.9768171967675443,55.25021707078793,58.78521869933368,3,57.528843147261966,0.24621943482425765
policy_feedback_loop,bandit_epsilon_greedy,pct_of_oracle_incremental,52.99685309561295,6.470483179478884,45.64129137723095,57.8099473173714,3,52.99685309561295,0.2500360225292841
policy_feedback_loop,bandit_greedy_online,pct_of_oracle_incremental,57.14784326346771,4.263564720888556,52.26681997753692,60.14485548222478,3,57.14784326346771,0.24917265260958346
policy_feedback_loop,bandit_linucb,pct_of_oracle_incremental,57.28329129602014,6.12300617287768,50.21918688931336,61.0703460316308,3,57.28329129602014,0.24897750890018033
policy_feedback_loop,bandit_thompson,pct_of_oracle_incremental,57.00816465569448,1.0898568836925597,55.79012998278164,57.89119235439775,3,57.00816465569448,0.24945096381717582
policy_feedback_loop,oracle,pct_of_oracle_incremental,100.0,0.0,100.0,100.0,3,100.0,0.3029743195798973
policy_feedback_loop,random,pct_of_oracle_incremental,25.680591710223823,6.3613704324055265,21.160452754532887,32.95496987862846,3,25.680591710223823,0.25190294211675957
policy_feedback_loop,retrained_propensity_ev,pct_of_oracle_incremental,58.280126224990255,2.91912495596616,55.352738662091205,61.19091780927911,3,58.280126224990255,0.24758362526158648
policy_feedback_loop,static_propensity_ev,pct_of_oracle_incremental,57.39676619245506,1.5917775422417086,56.32461299741228,59.22575477025768,3,57.39676619245506,0.24736069698343677
propensity_not_uplift,bandit_epsilon_greedy,pct_of_oracle_incremental,33.65102677805135,10.63852477449245,21.692449047605447,42.06393915075282,3,33.65102677805135,0.24908864717516668
propensity_not_uplift,bandit_greedy_online,pct_of_oracle_incremental,38.79237011243685,8.255829078504778,29.430032070206806,45.02875087500195,3,38.79237011243685,0.24867048208358855
propensity_not_uplift,bandit_linucb,pct_of_oracle_incremental,38.1596548090976,7.478775860312737,29.708082431174176,43.9217618058133,3,38.1596548090976,0.24886548613695378
propensity_not_uplift,bandit_thompson,pct_of_oracle_incremental,34.97417447687466,4.900993062654846,31.047724751730502,40.46684368907565,3,34.97417447687466,0.24730480198185503
propensity_not_uplift,oracle,pct_of_oracle_incremental,100.0,0.0,100.0,100.0,3,100.0,0.2984620469599153
propensity_not_uplift,random,pct_of_oracle_incremental,24.078058739010377,8.316731772838864,14.49156897167972,29.36368339175233,3,24.078058739010377,0.25190294211675957
propensity_not_uplift,retrained_propensity_ev,pct_of_oracle_incremental,29.725062152513427,13.870096484606147,14.004711125816783,40.23712363444377,3,29.725062152513427,0.24630274197848476
propensity_not_uplift,static_propensity_ev,pct_of_oracle_incremental,29.415830280575097,9.176242232938694,18.888655070500736,35.72218252342111,3,29.415830280575097,0.24652529784053331
