regime,n,candidate,metric,mean,sd,ci_low,ci_high,n_seeds,family,pct_of_oracle_incremental,fit_seconds,predict_seconds,share_treated
capacity_value_heterogeneity,2000.0,oracle,pct_of_oracle_incremental,100.0,0.0,100.0,100.0,5,,100.0,1.9110000721411778e-06,0.00041230140031979994,0.3210338984183964
capacity_value_heterogeneity,2000.0,propensity_ev_gbm,pct_of_oracle_incremental,39.18657138056454,24.451686806899417,20.822817558026667,57.55032520310241,5,,39.18657138056454,0.45359192719970454,0.022454607399958998,0.18953717836421918
capacity_value_heterogeneity,2000.0,dr_learner,pct_of_oracle_incremental,31.548174174965062,17.70438572895523,20.248159626763616,46.99625875179792,5,,31.548174174965062,1.418962890199873,0.02875020399987984,0.26707547932096987
capacity_value_heterogeneity,2000.0,t_learner,pct_of_oracle_incremental,26.127593432401124,14.714201865440568,15.113274946481642,37.97727121641206,5,,26.127593432401124,0.6118427526000232,0.03202502839994846,0.21518851540661682
capacity_value_heterogeneity,2000.0,random,pct_of_oracle_incremental,25.0340196271838,12.773621757795517,15.405106810685425,34.89470557726196,5,,25.0340196271838,0.01615546840039308,0.00059631739986794,0.24054206882545284
capacity_value_heterogeneity,2000.0,hist_profit_per_agent_hour,pct_of_oracle_incremental,21.10966720979785,10.185411938930356,13.381092150791025,29.119236363153,5,,21.10966720979785,0.021906432200375962,0.0007835255999452199,0.24346217481199117
capacity_value_heterogeneity,2000.0,lead_score_gbm,pct_of_oracle_incremental,20.74053929629807,16.598703436179527,7.978104519195104,34.9259267760108,5,,20.74053929629807,0.4402611371999228,0.018412756799989383,0.15591308198871576
capacity_value_heterogeneity,5000.0,oracle,pct_of_oracle_incremental,100.0,0.0,100.0,100.0,5,,100.0,1.7693997506285087e-06,0.00034704979989324,0.3308477323693609
capacity_value_heterogeneity,5000.0,propensity_ev_gbm,pct_of_oracle_incremental,49.14070194414392,23.946889079112495,27.743045366375235,64.99117475919468,5,,49.14070194414392,0.8015347341999586,0.05408287559985179,0.23047290893932418
capacity_value_heterogeneity,5000.0,t_learner,pct_of_oracle_incremental,48.69273487292016,4.894195046230823,44.93926449418714,52.35615705489371,5,,48.69273487292016,1.0917611480001141,0.06858168640028449,0.2587852502606942
capacity_value_heterogeneity,5000.0,dr_learner,pct_of_oracle_incremental,45.297253623931695,10.814130940283519,38.79111356648987,54.85310942814658,5,,45.297253623931695,2.42820608180009,0.06423794319980511,0.28316898781797195
capacity_value_heterogeneity,5000.0,lead_score_gbm,pct_of_oracle_incremental,32.57707844626343,17.71441230063512,16.770363198280045,41.96112321792721,5,,32.57707844626343,0.7918130198002473,0.0448203441997975,0.1838431621514094
