scenario,regime,capacity_ratio,candidate,metric,mean,sd,ci_low,ci_high,n_seeds,family,pct_of_oracle_incremental,fit_seconds,predict_seconds,share_treated
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,oracle,incremental_net_value_per_1k,116546.84429275885,35075.366460306424,92939.99735271015,143716.97385797973,6,,100.0,1.6044999332128402e-06,0.0005524576666478333,0.35847459891045413
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,propensity_ev_gbm,incremental_net_value_per_1k,67822.21870290823,21759.891712962566,53433.17641901511,84883.70069060814,6,,58.54880592737067,1.6370232718330346,0.2500715371667563,0.22716960541786213
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,t_learner,incremental_net_value_per_1k,62775.672929201595,22706.75938795288,49007.53688711378,81514.62182810508,6,,53.59016942497461,2.403046004499932,0.3073826821664625,0.24810631195370772
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,abl_t_learner_no_value_model,incremental_net_value_per_1k,60449.04855919548,17596.777031403864,50203.58201259391,75275.91524648143,6,,52.46985864838402,2.065325601333219,0.2264425171667123,0.2583760455339788
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,abl_propensity_ev_no_value_model,incremental_net_value_per_1k,58594.39745331059,15661.097972712156,47486.31371221084,70147.27669258676,6,,51.85084114871594,1.3368934761665514,0.17009634333317078,0.23658449038877383
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,abl_t_learner_no_effort_model,incremental_net_value_per_1k,57910.38256683379,22028.86691505432,44469.981151330794,76018.80300584868,6,,49.182713332196016,1.953974604166433,0.24714036950020576,0.2005081236560566
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,abl_t_learner_no_optimizer,incremental_net_value_per_1k,56661.06741435846,19572.969380224673,44329.22124928611,72191.02746713687,6,,48.462315416317175,2.4026840110000194,0.3076955044995581,0.195868587074555
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,abl_propensity_ev_no_effort_model,incremental_net_value_per_1k,52452.984253247814,16004.759732236009,41616.95438099353,64618.089429737236,6,,45.68074920557137,1.2732575476672234,0.1867614761661874,0.1722496359557956
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,abl_propensity_ev_no_optimizer,incremental_net_value_per_1k,51087.932229283906,13943.845894776712,41421.11754208143,61197.33577334723,6,,44.90200863829918,1.6816124468332418,0.25117093533269025,0.1697746220563662
abl_agent_time_heterogeneity,agent_time_heterogeneity,0.25,hist_profit_per_agent_hour,incremental_net_value_per_1k,45176.188137922996,13105.014744387305,36014.46885981556,54913.15620901283,6,,39.00471352446674,0.054249941333485624,0.0012766728332280334,0.24493679408339508
abl_capacity_value_heterogeneity,capacity_value_heterogeneity,0.25,oracle,incremental_net_value_per_1k,221114.69133690782,62511.78389815492,173316.50709275552,264600.0341490778,6,,100.0,1.451667230867315e-06,0.0005432736661532166,0.3533600847028911
abl_capacity_value_heterogeneity,capacity_value_heterogeneity,0.25,abl_t_learner_no_value_model,incremental_net_value_per_1k,152344.61933014044,59342.04997724342,108779.60796552362,194665.9246892736,6,,67.36474863144734,2.1734636129998157,0.2280384989996188,0.3075670186844
abl_capacity_value_heterogeneity,capacity_value_heterogeneity,0.25,t_learner,incremental_net_value_per_1k,140835.9714257045,55484.76380003799,101736.99694525915,181841.66011665657,6,,62.727498622390755,2.4911295576666816,0.3089271386667557,0.29437259016128264
abl_capacity_value_heterogeneity,capacity_value_heterogeneity,0.25,abl_propensity_ev_no_value_model,incremental_net_value_per_1k,136321.13083872283,62800.77338548163,90143.85285353231,180572.49454748482,6,,59.89328537396326,1.3824706139997336,0.17162880600001998,0.27149859089426626
abl_capacity_value_heterogeneity,capacity_value_heterogeneity,0.25,abl_t_learner_no_optimizer,incremental_net_value_per_1k,116670.43551241259,50914.623295378515,81093.70084014015,154713.4814412893,6,,51.751582754139285,2.483981896499851,0.3094744741671699,0.250156799128843
abl_capacity_value_heterogeneity,capacity_value_heterogeneity,0.25,abl_t_learner_no_effort_model,incremental_net_value_per_1k,114708.26366265549,48545.40707711647,81465.29959434841,151632.3162404875,6,,51.02822531257576,2.0668138949998442,0.2419152908335794,0.23982010723394442
abl_capacity_value_heterogeneity,capacity_value_heterogeneity,0.25,propensity_ev_gbm,incremental_net_value_per_1k,112398.93537454527,55527.977098348594,77685.87544942166,157404.40993886688,6,,50.04151042369048,1.7296351433330226,0.2516785251667291,0.25381459326484507
abl_capacity_value_heterogeneity,capacity_value_heterogeneity,0.25,abl_propensity_ev_no_effort_model,incremental_net_value_per_1k,80499.35220634016,48573.58562432708,51811.285989494354,120253.08354622859,6,,35.29946570843083,1.2648101254999347,0.1943131659997258,0.19706100953655326
abl_capacity_value_heterogeneity,capacity_value_heterogeneity,0.25,abl_propensity_ev_no_optimizer,incremental_net_value_per_1k,80054.22880408044,48624.94839848573,51639.71949901167,119968.55362861592,6,,35.10147351025361,1.7005595835001561,0.25226548699993145,0.19341919989957435
abl_capacity_value_heterogeneity,capacity_value_heterogeneity,0.25,hist_profit_per_agent_hour,incremental_net_value_per_1k,66858.70167845,17987.129968457473,53705.73254650168,80142.55477471236,6,,30.604161741873384,0.05525463616716778,0.0012750439997640832,0.24560383174513226
abl_propensity_not_uplift,propensity_not_uplift,0.25,oracle,incremental_net_value_per_1k,76546.96914326512,21273.439955355152,61232.70813466535,92036.81177109167,6,,100.0,1.7311670793181595e-06,0.0005164950001319834,0.30332632113390906
abl_propensity_not_uplift,propensity_not_uplift,0.25,t_learner,incremental_net_value_per_1k,38128.52613241653,15069.520212780213,27340.90379803911,48734.67991253865,6,,48.272009692359525,2.4468509395001092,0.29993930266694707,0.24853677323476656
abl_propensity_not_uplift,propensity_not_uplift,0.25,abl_t_learner_no_optimizer,incremental_net_value_per_1k,37618.23691489625,15339.251615564157,26527.90116129862,48551.34499725937,6,,47.41261360729407,2.447370375666651,0.2934325483335366,0.24688271486034372
abl_propensity_not_uplift,propensity_not_uplift,0.25,abl_t_learner_no_effort_model,incremental_net_value_per_1k,37605.414401999304,15315.429990529588,26523.552916180193,48519.91964584377,6,,47.40198565598829,2.021861465833657,0.23707695383382088,0.24643636418449902
abl_propensity_not_uplift,propensity_not_uplift,0.25,abl_t_learner_no_value_model,incremental_net_value_per_1k,37124.25865572019,14042.009607182737,27231.350524101563,47594.19425945807,6,,47.41478705241684,2.1108998224999596,0.21700657666648715,0.24805496877975677
abl_propensity_not_uplift,propensity_not_uplift,0.25,hist_profit_per_agent_hour,incremental_net_value_per_1k,28794.283185772758,13628.326657740818,17560.439755633295,36864.8920523037,6,,35.88081023263608,0.055481304666500315,0.0012806613334153168,0.24943859194050225
abl_propensity_not_uplift,propensity_not_uplift,0.25,propensity_ev_gbm,incremental_net_value_per_1k,28482.935638390973,15167.248862642302,16791.480261177057,38952.23632994984,6,,34.81903133133752,1.666874178500014,0.24066962366669023,0.24889414841252355
abl_propensity_not_uplift,propensity_not_uplift,0.25,abl_propensity_ev_no_effort_model,incremental_net_value_per_1k,28277.052041745363,13904.802101973642,17579.934070735602,37873.17081593404,6,,34.94701312673845,1.2539365805002187,0.19044031066672076,0.2466102270311602
