regime,capacity_ratio,candidate,metric,mean,sd,ci_low,ci_high,n_seeds,family,pct_of_oracle_incremental,fit_seconds,predict_seconds,share_treated
capacity_value_heterogeneity,0.05,oracle,pct_of_oracle_incremental,100.0,0.0,100.0,100.0,5,,100.0,1.7596001271158457e-06,0.0005576670000664,0.09545810264146246
capacity_value_heterogeneity,0.05,dr_learner,pct_of_oracle_incremental,35.48959114158307,11.047087944849777,26.899492951605367,44.33814140535255,5,,35.48959114158307,5.508982638400084,0.23910327320008937,0.08782299754899428
capacity_value_heterogeneity,0.05,t_learner,pct_of_oracle_incremental,33.13674984659309,10.667953546058156,25.190032311306386,42.378980335079845,5,,33.13674984659309,2.55494328700006,0.31305182659998537,0.07092594405239117
capacity_value_heterogeneity,0.05,propensity_ev_gbm,pct_of_oracle_incremental,26.055061258644923,13.010677725165417,17.40429643819005,36.70501944330617,5,,26.055061258644923,1.8266030581999075,0.26840035399945916,0.05871166733384906
capacity_value_heterogeneity,0.05,hist_profit_per_agent_hour,pct_of_oracle_incremental,7.404087846821774,4.559463825662975,3.4821630620861783,10.582744201490113,5,,7.404087846821774,0.06460553799988697,0.00126181479972724,0.04922574442990208
capacity_value_heterogeneity,0.05,random,pct_of_oracle_incremental,6.833415637042611,3.769041436212981,3.820448783898263,9.846382490186963,5,,6.833415637042611,0.044073664400275395,0.00097330419994244,0.04909597218092814
capacity_value_heterogeneity,0.05,lead_score_gbm,pct_of_oracle_incremental,4.875695199463016,7.558301631850387,0.5122364063148606,11.75010393499976,5,,4.875695199463016,1.7453608630001327,0.21988470060005055,0.027665195567475438
capacity_value_heterogeneity,0.1,oracle,pct_of_oracle_incremental,100.0,0.0,100.0,100.0,5,,100.0,1.121600143960677e-06,0.00055409340020556,0.17239358091505172
capacity_value_heterogeneity,0.1,dr_learner,pct_of_oracle_incremental,40.986893486673196,12.17791880612201,31.853371651548514,50.567291049719366,5,,40.986893486673196,5.531097421599952,0.23149527279983886,0.16213455685475442
capacity_value_heterogeneity,0.1,t_learner,pct_of_oracle_incremental,40.92729288516051,10.780261574500313,32.37749849871493,49.528074431803425,5,,40.92729288516051,2.5446115947999717,0.3118227609998939,0.1312695703277958
capacity_value_heterogeneity,0.1,propensity_ev_gbm,pct_of_oracle_incremental,34.10677002724856,14.635969340444058,23.222765382214718,46.38556813243175,5,,34.10677002724856,1.6754132496000238,0.2525641774000178,0.11269647514916789
capacity_value_heterogeneity,0.1,hist_profit_per_agent_hour,pct_of_oracle_incremental,14.28841329915052,5.501049490725352,10.133869077510678,19.131541251738405,5,,14.28841329915052,0.054006208400096456,0.0012326573998506798,0.09946339041712882
